id	area	perimeter	name	lunghezza	larghezza	long	lat
3	166.64	54.6	2i	18.08649637	9.213503635	7.658445815	45.06507417
5	262.47	73.69	4i	27.19281962	9.652180379	7.658538904	45.065206
7	195.92	62.55	6i	22.60968805	8.665311947	7.658639263	45.0653466
9	196.61	63.39	8i	23.23216358	8.462836416	7.658766021	45.06552587
11	173.07	57.87	10i	20.48734686	8.447653137	7.658848546	45.06563777
13	284.74	74.27	12i	26.31424488	10.82075512	7.658943453	45.06576925
12	255.84	68.05	11i	22.80777016	11.21722984	7.658584594	45.06589772
10	208.95	59.08	9i	17.80362819	11.73637181	7.658475072	45.0657723
8	247.39	64.05	7i	19.01419223	13.01080777	7.658396519	45.06565996
6	244.17	63.5	5i	18.67600428	13.07399572	7.658271525	45.06547852
4	263.11	66.87	3i	20.76284377	12.67215623	7.658186536	45.06535087
2	267.51	67.54	1i	21.07942785	12.69057215	7.658093497	45.06521548